200,96.8613,96.8613,96.8613,96.8613
600,96.7828,96.7828,96.7828,96.7828
1000,91.8417,70.5087,70.5087,91.9202
1400,55.9207,40.6268,40.6268,60.3128
1800,41.4896,27.8427,27.8427,41.4896
