0.101125,10,9,9,10
0.581125,10,9,9,10
1.06112,10,9,9,10
1.54112,10,9,9,10
2.02112,10,9,9,10
2.50112,10,9,9,10
3.14112,10,9,9,10
3.62112,10,9,9,10
4.10112,10,9,9,10
4.58112,10,9,9,10
5.06112,10,9,9,10
5.54112,10,9,9,10
6.02112,10,9,9,10
6.50112,10,9,9,10
7.14112,10,9,9,10
7.62112,10,9,9,10
8.10112,10,9,9,10
8.58112,10,9,9,10
9.06112,10,9,9,10
9.54112,10,9,9,10
10.0211,10,9,9,10
10.5011,10,9,9,10
11.1411,10,9,9,10
11.6211,10,9,9,10
12.1011,10,9,9,10
12.5811,10,9,9,10
13.0611,10,9,9,10
13.5411,10,9,9,10
14.0211,10,9,9,10
14.5011,10,9,9,10
15.1411,10,9,9,10
15.6211,10,9,9,10
16.1011,10,9,9,10
16.5811,10,9,9,10
17.0611,10,9,9,10
17.5411,10,9,9,10
18.0211,10,9,9,10
18.5011,10,9,9,10
19.1411,10,9,9,10
19.6211,10,9,9,10
20.1011,10,9,9,10
20.5811,10,9,9,10
21.0611,10,9,9,10
21.5411,10,9,9,10
22.0211,10,9,9,10
22.5011,10,9,9,10
23.1411,10,9,9,10
23.6211,10,9,9,10
24.1011,10,9,9,10
24.5811,10,9,9,10
25.0611,10,9,9,10
25.5411,10,9,9,10
26.0211,10,9,9,10
26.5011,10,9,9,10
27.1411,10,9,9,10
27.6211,10,9,9,10
28.1011,10,9,9,10
28.5811,10,9,9,10
29.0611,10,9,9,10
29.5411,10,9,9,10
